Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
https,www.explorebathurst.com.au,/rrefeeieoj.html,0,1,1,0,0,1,1,1,1,0,0,1,0,1
https,celetemconfirmationsi.ga,/cetelem/clients/login.php,0,2,0,0,0,0,0,1,1,0,1,1,0,1
https,docu-shar3point-st0rag.web.app,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,vouchere-astrazeneca.totemsoftware.ro,/auth/login,0,2,0,0,1,0,0,1,1,0,0,0,0,1
https,mail-123-reg-co-uk.web.app,/,0,0,1,0,1,2,1,2,1,0,0,0,0,1
https,recoverphrase325.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,koerich-c-empresarial.com,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,xtio.ch,/258wyeyv,0,0,0,0,0,0,0,1,1,0,0,1,0,1
https,recoverphrase457.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,storage.cloud.google.com,/1lordman1man3/kelmanco.html,0,1,1,0,0,1,0,0,2,0,0,2,0,1
https,www.ana.co.jp.qkoddes.cn,/,0,0,0,0,0,1,0,1,1,0,0,0,0,1
http,grup-bokep-viral7282.duckdns.org,/,0,0,0,0,1,0,0,1,1,0,0,1,0,1
https,cutt.ly,/IIQMdzN,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https,ikpumariana8.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,sites.google.com,/view/paypal-customer-services/,0,2,0,0,0,0,0,0,2,0,0,0,0,1
https,firebasestorage.googleapis.com,/v0/b/ikom-c0484.appspot.com/o/index.shtml,0,1,1,0,0,1,1,0,1,1,0,1,0,1
https,aiu.kdda.tluwxtx.cn,/login.php,0,0,0,0,0,1,0,1,1,0,0,0,0,1
https,decostra.com,/wp-admin/gneral/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
http,interbranks.iabaden.org,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,register-area-app.com,/,0,0,0,0,1,0,0,1,1,1,1,1,0,1
https,sites.google.com,/view/awspage,0,0,0,0,0,0,0,0,2,0,0,0,0,1
